"등록일","기준일","1분기 1차접종대상자(서울시)","1분기 1차실접종자(서울시)","1분기 1차접종률(서울시)","1분기 2차접종대상자(서울시)","1분기 2차실접종자(서울시)","1분기 2차접종률(서울시)","2분기 1차접종대상자(서울시)","2분기 1차실접종자(서울시)","2분기 1차접종률(서울시)","2분기 2차접종대상자(서울시)","2분기 2차실접종자(서울시)","2분기 2차접종률(서울시)","3분기 1차접종대상자(서울시)","3분기 1차실접종자(서울시)","3분기 1차접종률(서울시)","3분기 2차접종대상자(서울시)","3분기 2차실접종자(서울시)","3분기 2차접종률(서울시)","4분기 1차접종대상자(서울시)","4분기 1차실접종자(서울시)","4분기 1차접종률(서울시)","4분기 2차접종대상자(서울시)","4분기 2차실접종자(서울시)","4분기 2차접종률(서울시)","1분기 1차 추가접종자(서울시)","1분기 2차 추가접종자(서울시)","2분기 1차 추가접종자(서울시)","2분기 2차 추가접종자(서울시)","3분기 1차 추가접종자(서울시)","3분기 2차 추가접종자(서울시)","4분기 1차 추가접종자(서울시)","4분기 2차 추가접종자(서울시)","수집일"
"20210423","21.04.23.00","1023538","317386","31.0","1023538","15901","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-04-26 19:01:39.0"
"20210422","21.04.22.00","1019322","291857","28.6","1019322","13543","1.3","","","","","","","","","","","","","","","","","","","20830","25","","","","","","","2021-04-22 19:01:39.0"
"20210421","21.04.21.00","936558","263652","28.2","936558","13518","1.4","","","","","","","","","","","","","","","","","","","15167","10","","","","","","","2021-04-21 19:01:39.0"
"20210420","21.04.20.00","863770","247531","28.7","863770","13509","1.6","","","","","","","","","","","","","","","","","","","20629","2","","","","","","","2021-04-20 19:01:39.0"
"20210419","21.04.19.00","862483","226902","26.3","862483","13507","1.6","","","","","","","","","","","","","","","","","","","0","0","","","","","","","2021-04-19 19:01:39.0"
"20210418","21.04.18.00","862062","227309","26.3","862062","13508","1.6","","","","","","","","","","","","","","","","","","","2361","1","","","","","","","2021-04-18 19:01:39.0"
"20210417","21.04.17.00","862124","224483","26","862124","13507","1.6","","","","","","","","","","","","","","","","","","","15739","5","","","","","","","2021-04-17 19:01:39.0"
"20210416","21.04.16.00","860944","208644","24.2","860944","13502","1.6","","","","","","","","","","","","","","","","","","","13573","0","","","","","","","2021-04-16 19:01:39.0"
"20210415","21.04.15.00","860350","194965","22.7","860350","13502","1.6","","","","","","","","","","","","","","","","","","","6319","2","","","","","","","2021-04-15 19:01:39.0"
"20210414","21.04.14.00","853481","188651","22.1","853481","13500","1.6","","","","","","","","","","","","","","","","","","","5842","2","","","","","","","2021-04-14 19:01:39.0"
"20210413","21.04.13.00","853094","182802","21.4","853094","13498","1.6","","","","","","","","","","","","","","","","","","","5476","22","","","","","","","2021-04-13 19:01:39.0"
"20210412","21.04.12.00","870782","177325","20.4","870782","13476","1.6","","","","","","","","","","","","","","","","","","","0","0","","","","","","","2021-04-12 19:01:39.0"
"20210411","21.04.11.00","865039","177325","20.5","865039","13476","1.6","","","","","","","","","","","","","","","","","","","1180","0","","","","","","","2021-04-11 19:01:39.0"
"20210410","21.04.10.00","865043","176145","20.4","865043","13476","1.6","","","","","","","","","","","","","","","","","","","4765","323","","","","","","","2021-04-10 19:01:39.0"
"20210409","21.04.09.00","864859","171378","19.8","864859","13153","2.0","","","","","","","","","","","","","","","","","","","4815","756","","","","","","","2021-04-09 19:01:39.0"
"20210408","21.04.08.00","863829","166563","19.3","863829","12397","1.4","","","","","","","","","","","","","","","","","","","4126","620","","","","","","","2021-04-08 19:01:39.0"
"20210407","21.04.07.00","851570","161684","19.6","851570","11777","1.4","","","","","","","","","","","","","","","","","","","5312","284","","","","","","","2021-04-07 19:01:39.0"
"20210406","21.04.06.00","851344","156364","18.4","851344","11493","1.3","","","","","","","","","","","","","","","","","","","4681","0","","","","","","","2021-04-06 19:01:39.0"
"20210405","21.04.05.00","850519","151684","17.8","850519","11492","1.4","","","","","","","","","","","","","","","","","","","105","0","","","","","","","2021-04-05 19:01:39.0"
"20210404","21.04.04.00","837461","151579","18.1","837461","11492","1.7","","","","","","","","","","","","","","","","","","","201","104","","","","","","","2021-04-04 19:01:39.0"
"20210403","21.04.03.00","837337","151378","17.5","814621","11388","1.7","","","","","","","","","","","","","","","","","","","5272","2206","","","","","","","2021-04-03 19:01:39.0"
"20210402","21.04.02.00","836323","146099","17.5","836323","9182","1.1","","","","","","","","","","","","","","","","","","","4515","2955","","","","","","","2021-04-02 19:01:39.0"
"20210401","21.04.01.00","188128","141584","75.3","188128","6227","3.3","","","","","","","","","","","","","","","","","","","2144","2828","","","","","","","2021-04-01 19:01:39.0"
"20210331","21.03.31.00","187123","139417","74.5","187123","3399","1.8","","","","","","","","","","","","","","","","","","","2706","366","","","","","","","2021-03-31 19:01:39.0"
