"자치구 기준일","종로구 전체","종로구 추가","중구 전체","중구 추가","용산구 전체","용산구 추가","성동구 전체","성동구 추가","광진구 전체","광진구 추가","동대문구 전체","동대문구 추가","중랑구 전체","중랑구 추가","성북구 전체","성북구 추가","강북구 전체","강북구 추가","도봉구 전체","도봉구 추가","노원구 전체","노원구 추가","은평구 전체","은평구 추가","서대문구 전체","서대문구 추가","마포구 전체","마포구 추가","양천구 전체","양천구 추가","강서구 전체","강서구 추가","구로구 전체","구로구 추가","금천구 전체","금천구 추가","영등포구 전체","영등포구 추가","동작구 전체","동작구 추가","관악구 전체","관악구 추가","서초구 전체","서추구 추가","강남구 전체","강남구 추가","송파구 전체","송파구 추가","강동구 전체","강동구 추가","기타 전체","기타 추가","수집일"
"21.04.25.00","671","3","580","1","973","5","1009","8","1196","8","1338","5","1651","10","1547","1","980","4","1141","10","1645","6","1648","7","912","3","1190","3","1353","4","1966","3","1288","3","565","3","1346","8","1562","5","1752","8","1556","7","1855","12","2090","17","1376","5","3820","5","2021-04-26 19:11:39.0"
"21.04.24.00","668","2","579","3","968","4","1001","8","1188","7","1333","7","1641","6","1546","4","976","7","1131","6","1639","10","1641","6","909","3","1187","6","1349","7","1963","9","1285","6","562","6","1338","4","1557","11","1744","8","1549","8","1843","11","2073","10","1371","9","3815","7","2021-04-25 19:11:39.0"
"21.04.23.00","666","2","576","7","964","4","993","9","1182","19","1326","13","1635","13","1542","3","969","3","1125","2","1629","13","1635","9","906","5","1182","10","1342","8","1954","16","1279","4","556","0","1334","8","1546","11","1736","5","1541","18","1832","21","2063","14","1362","20","3806","16","2021-04-24 19:11:39.0"
"21.04.22.00","665","4","569","1","960","3","984","12","1164","16","1313","7","1622","14","1539","8","966","13","1123","7","1616","9","1626","6","901","1","1172","2","1334","7","1938","9","1275","1","556","4","1326","11","1535","3","1731","10","1523","9","1811","14","2050","11","1341","12","3788","10","2021-04-23 19:11:39.0"
"21.04.21.00","661","4","568","3","957","2","971","8","1150","8","1307","14","1608","11","1531","6","953","12","1116","20","1607","13","1620","7","900","4","1170","6","1327","6","1929","5","1274","3","552","7","1315","10","1534","5","1720","14","1514","11","1797","18","2039","14","1329","6","3775","13","2021-04-22 19:11:39.0"
"21.04.20.00","658","4","565","8","955","4","963","8","1142","8","1293","16","1597","12","1525","6","941","9","1096","7","1594","9","1613","11","896","6","1164","9","1321","8","1924","4","1271","7","545","3","1305","6","1529","8","1706","8","1503","10","1779","11","2023","20","1323","9","3763","7","2021-04-21 19:11:39.0"
"21.04.19.00","654","2","560","2","951","1","955","4","1134","7","1277","10","1585","8","1519","9","932","7","1089","6","1585","6","1602","15","890","3","1155","4","1313","6","1920","4","1264","4","542","1","1299","2","1521","1","1698","9","1493","10","1768","10","2003","7","1314","4","3753","6","2021-04-20 19:11:39.0"
"21.04.18.00","652","1","558","0","950","4","951","4","1127","8","1267","7","1577","10","1510","6","925","4","1083","4","1579","6","1587","7","887","3","1151","4","1308","6","1915","5","1260","2","541","2","1297","2","1520","11","1689","6","1483","14","1758","7","1996","10","1310","2","3747","2","2021-04-19 19:11:39.0"
"21.04.17.00","651","3","558","5","946","3","947","8","1119","9","1260","6","1567","7","1505","11","920","5","1079","0","1573","8","1580","10","884","5","1147","6","1302","9","1910","12","1258","6","539","4","1295","6","1509","12","1684","11","1469","9","1751","15","1986","10","1308","14","3745","11","2021-04-18 19:11:39.0"
"21.04.16.00","648","0","553","5","943","3","939","9","1110","10","1254","6","1560","11","1494","5","915","5","1079","3","1565","6","1570","11","879","1","1141","7","1293","3","1898","8","1252","7","536","4","1290","8","1497","10","1673","10","1460","9","1736","27","1976","12","1294","16","3732","21","2021-04-17 19:11:39.0"
"21.04.15.00","648","0","548","1","940","3","930","7","1100","6","1248","8","1549","5","1489","8","910","3","1076","8","1559","14","1559","20","878","7","1134","7","1290","4","1890","5","1245","10","532","9","1282","11","1487","9","1663","9","1451","12","1709","20","1964","16","1278","9","3711","5","2021-04-16 19:11:39.0"
"21.04.14.00","648","1","547","1","938","2","923","5","1094","11","1241","5","1544","21","1481","9","907","2","1068","2","1546","11","1539","9","871","8","1127","7","1286","5","1885","11","1235","6","523","4","1271","14","1478","1","1654","12","1439","12","1689","21","1948","19","1269","8","3704","10","2021-04-15 19:11:39.0"
"21.04.13.00","647","2","546","3","936","4","918","5","1084","11","1236","13","1522","17","1472","5","905","7","1066","7","1535","8","1530","14","864","6","1120","8","1281","5","1874","6","1229","3","519","5","1258","7","1477","8","1642","22","1427","14","1668","18","1930","28","1261","12","3691","9","2021-04-14 19:11:39.0"
"21.04.12.00","645","4","544","1","931","3","913","7","1073","16","1223","3","1505","3","1467","7","898","4","1059","10","1527","5","1516","7","858","4","1112","2","1276","8","1868","5","1226","2","514","1","1251","6","1469","13","1620","8","1413","11","1650","11","1902","4","1249","7","3682","6","2021-04-13 19:11:39.0"
"21.04.11.00","641","0","543","2","928","3","906","5","1058","17","1220","5","1502","8","1461","10","894","1","1049","9","1522","9","1509","9","854","0","1110","4","1268","5","1863","3","1224","1","513","1","1245","6","1456","9","1612","8","1402","14","1639","8","1898","10","1242","7","3674","8","2021-04-12 19:11:39.0"
"21.04.10.00","641","3","541","0","925","7","900","0","1041","3","1215","14","1494","16","1451","14","893","0","1040","4","1513","6","1501","9","854","4","1105","7","1263","20","1860","12","1223","4","512","3","1240","4","1447","16","1604","6","1388","21","1631","12","1888","13","1235","3","3666","13","2021-04-11 19:11:39.0"
"21.04.09.00","638","2","541","4","918","4","900","4","1039","7","1202","11","1478","13","1437","9","893","1","1036","13","1507","6","1492","13","850","5","1098","7","1243","8","1848","6","1219","3","509","3","1236","7","1431","12","1598","7","1367","9","1619","16","1875","9","1231","12","3652","10","2021-04-10 19:11:39.0"
